term,estimate,std_error,conf_low,conf_high,seed,true_value,index
beta_0,-4.972053738942376,0.32587711243166906,-5.610761142694357,-4.333346335190394,20191072,-5,55
beta_logHI,2.110067232304152,0.106324074564889,1.9016758754674181,2.3184585891408855,20191072,2,55
beta_logNI,0.9518701081531658,0.057405765656348876,0.8393568749617757,1.0643833413445558,20191072,1,55
lambda,0.5025415226674762,0.011659728815226514,0.4796888741201284,0.525394171214824,20191073,0.5,56
beta_0,-4.801027026285311,0.31190211325490225,-5.412343934966852,-4.18971011760377,20191073,-5,56
beta_logHI,1.9838414210743582,0.10091784506023682,1.7860460793589006,2.181636762789816,20191073,2,56
beta_logNI,0.9681279598245018,0.054372895504708335,0.8615590429001138,1.07469687674889,20191073,1,56
lambda,0.5162064688051118,0.01128229126405499,0.49409358426447314,0.5383193533457504,20191074,0.5,57
beta_0,-5.0410951509787365,0.31265556839441694,-5.653888804597694,-4.428301497359779,20191074,-5,57
beta_logHI,2.020959269173297,0.09902321702887872,1.8268773301634014,2.2150412081831927,20191074,2,57
beta_logNI,1.0309009044251491,0.05719685346367834,0.9187971316073246,1.1430046772429736,20191074,1,57
lambda,0.4927363427898109,0.011222997460476588,0.47073967196869226,0.5147330136109295,20191075,0.5,58
beta_0,-5.310306696476247,0.3525916322932702,-6.001373597021246,-4.619239795931248,20191075,-5,58
beta_logHI,2.113925651310165,0.11194760534271499,1.89451237668294,2.3333389259373902,20191075,2,58
beta_logNI,1.0824360331639256,0.06276155590321884,0.9594256439799195,1.2054464223479318,20191075,1,58
lambda,0.4876739813543216,0.011358723417129577,0.4654112925463959,0.5099366701622473,20191076,0.5,59
beta_0,-4.858958427733801,0.3056194195745655,-5.457961483075985,-4.259955372391617,20191076,-5,59
beta_logHI,1.9779882151235604,0.09690950543650924,1.7880490747084137,2.167927355538707,20191076,2,59
beta_logNI,0.9943592837995633,0.056562607902038126,0.8834986094399079,1.1052199581592186,20191076,1,59
lambda,0.5123263512894654,0.011843952082610347,0.4891126317729309,0.5355400708059997,20191077,0.5,60
beta_0,-4.77801999960577,0.3112214041053022,-5.388002742870149,-4.168037256341392,20191077,-5,60
beta_logHI,1.9523532491071438,0.10063570055800812,1.7551109004544905,2.149595597759797,20191077,2,60
beta_logNI,0.9382661500929571,0.052179185966158066,0.8359968248566695,1.0405354753292446,20191077,1,60
lambda,0.4929473580023552,0.01087031968390586,0.47164192292146284,0.5142527930832475,20191078,0.5,61
beta_0,-5.379864526997505,0.34098122586987234,-6.048175449106772,-4.711553604888238,20191078,-5,61
beta_logHI,2.1662360172857418,0.11065615036349778,1.9493539479054374,2.3831180866660464,20191078,2,61
beta_logNI,0.9900290216805119,0.05710942851251306,0.8780965986183215,1.1019614447427024,20191078,1,61
lambda,0.5169782735892553,0.011558664866735168,0.4943237067410859,0.5396328404374247,20191079,0.5,62
beta_0,-5.044847832151318,0.3284396196708884,-5.688577657802293,-4.401118006500344,20191079,-5,62
beta_logHI,2.1018244425127475,0.10657146687919748,1.8929482056499172,2.3107006793755778,20191079,2,62
beta_logNI,0.9837901022978641,0.05690257031806939,0.8722631138466903,1.095317090749038,20191079,1,62
lambda,0.48324931264314364,0.0112432740535226,0.4612129004299257,0.5052857248563616,20191080,0.5,63
beta_0,-5.080835218582121,0.33761601068614877,-5.742550440131062,-4.41911999703318,20191080,-5,63
beta_logHI,1.9882566696856052,0.10355320849241878,1.7852961105568972,2.1912172288143132,20191080,2,63
beta_logNI,1.0107320807400397,0.05939698765170453,0.8943161241525286,1.1271480373275509,20191080,1,63
lambda,0.4885402785837106,0.011770480918098975,0.46547055990352065,0.5116099972639006,20191081,0.5,64
beta_0,-4.6808325703357605,0.3157251851515768,-5.299642562245091,-4.06202257842643,20191081,-5,64
beta_logHI,1.9189327974567725,0.09950382648449324,1.723908881223243,2.113956713690302,20191081,2,64
beta_logNI,0.9228732621736713,0.05489630085207833,0.8152784896191223,1.0304680347282202,20191081,1,64
lambda,0.49822317339363165,0.011078718145362109,0.4765092848338515,0.5199370619534117,20191082,0.5,65
beta_0,-5.2156856328042505,0.32104261617932406,-5.844917598018242,-4.586453667590259,20191082,-5,65
beta_logHI,2.0755056174137523,0.10216780074303929,1.8752604075777308,2.275750827249774,20191082,2,65
beta_logNI,1.0677276974081988,0.05932187149914958,0.9514589657743526,1.183996429042045,20191082,1,65
lambda,0.5004899674615557,0.011469987526311063,0.4780092050068624,0.522970729916249,20191083,0.5,66
beta_0,-4.8503543693923,0.3053322484840879,-5.448794579739747,-4.251914159044853,20191083,-5,66
beta_logHI,1.9111088830205212,0.09346582445943523,1.7279192332946853,2.094298532746357,20191083,2,66
beta_logNI,0.9952888105156306,0.056495526942603604,0.8845596124205153,1.1060180086107458,20191083,1,66
lambda,0.4983369583774836,0.011619730358756897,0.4755627053642534,0.5211112113907138,20191084,0.5,67
beta_0,-4.719761076093902,0.3086966352558372,-5.32479536334404,-4.114726788843764,20191084,-5,67
beta_logHI,1.9075101367891567,0.09770837003434214,1.7160052505337335,2.09901502304458,20191084,2,67
beta_logNI,0.9521469063339906,0.05361559557099304,0.847062270005179,1.057231542662802,20191084,1,67
lambda,0.5049524330121399,0.011190384078364772,0.4830196832453745,0.5268851827789053,20191085,0.5,68
beta_0,-5.027016750813236,0.3028117587260506,-5.620516892011528,-4.433516609614944,20191085,-5,68
beta_logHI,2.0219436804677393,0.09725046345325075,1.8313362746195392,2.2125510863159397,20191085,2,68
beta_logNI,1.0338259605875566,0.05462618756384986,0.9267606003496811,1.140891320825432,20191085,1,68
lambda,0.4942659922344603,0.011626509907812865,0.471478451549249,0.5170535329196716,20191086,0.5,69
beta_0,-4.909646943088136,0.3152469921033639,-5.527519693845312,-4.29177419233096,20191086,-5,69
beta_logHI,1.9530035465623243,0.0983127971244063,1.760314004979095,2.1456930881455536,20191086,2,69
beta_logNI,0.9799617923165402,0.05521745395839857,0.8717375712400804,1.0881860133930001,20191086,1,69
